ROI,White pulp,Red pulp,Background
ROI002,317.389350798038,386.128217047136,25.8650343127551
ROI004,462.132015770386,190.591185525459,24.6779253585061
ROI006,417.838485541962,269.903686525397,50.6260802353886
ROI008,20.3715487874634,498.270007124651,42.5675933075855
ROI010,207.853313661342,454.378696683724,28.9309522829789
ROI012,1,480.24160586105,140.950345866905
