"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,316,560,112,305,551,210,241,245,211,219,306,531,231,231,293,601,245,663,343,350,225,302,232,286,268,312,598,284,423,225,230
"2",2,602.5,641,179.5,321,450.5,0,236,232.5,211.5,324.5,456.5,411.5,231.5,234,345.5,689,490.5,678.5,434,351.5,265.5,840.5,198,257,579,352,534.5,462,615,197,260
"3",3,309,554,112,285,383,359,193,325,236,287,281,284,231,230,310,675,474,250,392,331,248,777,260,324,383,601,706,366,679,224,333
"4",4,344,570,114,288,418,429,224,280,218,273,273,303,235,228,323,645,471,243,390,345,228,787,241,289,358,348,645,337,626,221,243
"5",5,302,548,65,241,376,519,221.5,253,247,279,280,300,230,231,265.5,647,384.5,209.5,325,339,255,819,224,242,535,305,232.5,473,555,222,205
"6",6,453,602,158,346,543.5,114.5,258,277,214.5,242,385,552,231.5,228.5,334,618,357.5,673.5,440,355,228,623.5,260,335.5,307.5,394.5,623.5,405,447,228,233.5
"7",7,325,561.5,118.5,291,474,0,217,351.5,203.5,250.5,276.5,311,231.5,231,345.5,659,465.5,275.5,378.5,348.5,228,734,228.5,297.5,324,393.5,693,292,528.5,224,350.5
"8",8,323.5,562.5,86.5,272.5,481.5,162,225,238,212.5,246,229,281,232,231.5,308,718.5,364.5,513.5,335,344.5,381.5,365,235.5,268.5,269,318.5,450,282.5,432.5,232.5,241
"9",9,314,556,104,336,424,292,224,274,221,309,290,301,231,229,318,756,418,307,371,338,492,658,213,297,309,337,295,307,504,219,224
"10",10,271,535.5,63,245,448,273.5,226,253,224,236,255.5,307,231,231,297,515,396,232,294,337,230,707,222,263,335,302,242,284.5,449.5,226,230
