"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,315,558,119,283,543,224,233,245,211,220,334,480,231,231,294,594,254,658,342,352,222,305,233,285,267,310,582,283,423,225,233
"2",2,380,578,171,336,491,0,252,266,222,314,500,353,232,227,360,716,510,565,401,353,278,840,152,332,516,382,604,471,715,218,275
"3",3,276,539.5,113.5,293,373.5,379,184,378.5,229,299,280.5,302.5,232.5,230,324.5,678.5,475,267.5,400,324.5,256.5,796.5,251.5,329.5,408,591.5,804.5,390.5,754.5,227.5,334
"4",4,285,541,76,260,408,451,223,258,227,273,312,300,230,231,299,621,393,244,319,340,244,817,218,250,412,315,608,385,637,222,220
"5",5,304,549,70,247,410,502,220,261,234,274,290,305,232,232,285,647,363,224,314,339,246,830,219,256,413,300,282,433,625,221,203
"6",6,388,576,129,353,530,388,232,226,208,248,310,479,230,233,324,643,301,662,417,346,242,642,213,332,280,359,596,254,452,229,261
"7",7,317,560,128,304,491,29,218,415,184,254,278,298,231,231,359,641,427,261,379,360,217,744,236,322,307,388,727,288,671,222,345
"8",8,305,551,116.5,294,479,107.5,245,295,228.5,244,429,307.5,229.5,231.5,288.5,702.5,405,498,367.5,345.5,433.5,346,231.5,306,292.5,328.5,514,295.5,558,225.5,229
"9",9,294,547,120,318,459,127,233,268,203,315,328,308,232,231,314,757,431,317,376,343,532,675,213,308,295,338,327,313,506,221,259
"10",10,315.5,556.5,70,250,478.5,314,224,248,210.5,244,283.5,305.5,232,232,310.5,573,358,231,294.5,340,227,777.5,223.5,262,305.5,302,267.5,308,532.5,221.5,214
"11",11,333,557,93,284,501,76,225,282,204,257,246,284,230,230,318,732,386,496,340,340,472,516,225,299,281,316,280,278,471,225,250
"12",12,279,545,108,292,479,0,230,275,197,407,296,293,232,229,322,766,440,270,357,340,510,364,238,297,283,330,312,299,471,218,238
"13",13,336,574,143,710,490,0,232,432,198,254,339,315,230,224,359,553,404,361,358,353,219,701,229,309,344,311,276,259,598,226,227
"14",14,240,530,121,299,598,0,445,318,176,234,681,264,232,235,318,689,395,584,317,344,211,374,261,287,298,330,327,302,631,220,303
"15",15,178,464.5,255.5,422.5,678.5,0,234.5,284.5,214.5,256,408.5,272.5,230,230.5,340,464.5,291,275,369,378.5,198,432.5,227,320,418.5,511,466.5,493,272,245,408
"16",16,320,555.5,106.5,285,522.5,172.5,232,255,215,223.5,309.5,287,231,232,321,526,333.5,297.5,316,343,221.5,291.5,229.5,291.5,280,318,292.5,281.5,429,227,241
"17",17,291,547,151,379,528,31,239,580,194,214,261,295,231,230,335,564,357,291,356,343,215,476,218,327,290,312,313,289,575,230,267
"18",18,414,588,123,304,573,0,241,258,160,481,291,303,227,229,398,740,445,209,347,345,219,467,230,286,283,302,302,280,362,222,253
"19",19,364,573,216,567,577,0,237,234,196,209,416,309,231,231,462,556,325,692,407,394,213,327,233,334,315,356,671,313,421,226,261
"20",20,294.5,545.5,109.5,309.5,572.5,0,442,281.5,185.5,258,660.5,287.5,234,230.5,329,708.5,434.5,655,352,349,209.5,345,230.5,288.5,292.5,325.5,554,294.5,666.5,221,347.5
"21",21,338,568,143.5,326.5,555.5,0,259.5,327.5,193,263,590.5,293.5,231,233,380,728,529,689.5,434,356.5,204.5,347,218,263.5,572.5,370,476,324.5,690.5,221,559
"22",22,261,527,139.5,389,593,0,250.5,271,200,228.5,499.5,305.5,230.5,228,380,627.5,414,376,386.5,346.5,210.5,336.5,236.5,331.5,385.5,417,507,319,584.5,228,309.5
"23",23,352,574,236,771,531,0,275,565,207,213,363,299,232,230,376,585,447,355,399,349,203,346,230,374,319,350,372,286,595,227,245
"24",24,300,544,70,254,514,0,245,251,219,531,319,302,232,232,325,693,382,245,308,338,214,299,223,289,258,607,338,537,687,225,244
"25",25,403,586.5,313,731.5,580.5,0,241.5,205.5,189,200.5,315.5,302,233,233,555.5,511.5,367,484,454,443.5,188,312,226.5,387,341.5,378.5,707,337,379.5,228,266
"26",26,339,569,158,297,598,0,363,326,174,219,463,303,230,231,361,661,468,658,399,376,215,336,228,308,304,359,786,321,467,224,278
"27",27,366.5,584.5,159,665.5,507,0,253.5,575,198,235,433,319,231.5,229.5,419,644.5,545.5,463,420.5,349,225.5,349.5,238.5,337.5,440.5,355,533,287.5,641.5,220.5,395
"28",28,318,555,212,809,536,0,252,265,206,218,364,302,230,231,381,570,419,346,385,370,217,310,222,373,311,351,394,328,460,227,261
