"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,275,541,118,308,536,171,238,240,217,226,332,496,231,231,294,601,264,680,343,351,230,309,234,295,275,315,571,290,438,225,236
"2",2,462,601,180,341,429,3,267,237,236,328,524,362,231,233,371,706,532,597,427,353,270,841,188,306,605,423,714,476,704,215,326
"3",3,317,556,107,302,353.5,461.5,197,284.5,239.5,318.5,280.5,308.5,231.5,230,343,672.5,470,263.5,396,334.5,266,794,260.5,328,396,590,779.5,379.5,748,224.5,348
"4",4,271,536,70,256,387,436,219,250,240,280,295,317,231,231,287,634,412,213,324,337,246,815,234,269,390,315,585,367,622,220,216
"5",5,270,535,64,247,363,534,223,249,258,289,284,311,231,232,264,652,379,215,314,340,263,825,221,255,459,303,262,456,624,221,208
"6",6,438,604,190,356,534,88,242,211,224,240,404,499,230,231,329,636,368,668,378,362,235,698,214,338,332,326,582,287,480,225,236
"7",7,313,560,118,302,485,0,219,332,193,253,279,298,230,231,366,644,444,264,384,357,217,744,234,323,310,409,721,309,677,222,365
"8",8,274,548,72,266,480.5,350,239.5,236,211.5,245,258,289,229,233,256,711.5,317,494.5,343.5,340.5,346,283,230.5,298.5,278.5,309,530.5,352,446.5,226,268
"9",9,352,576,122,330,423,231,231,266,218,321,291,314,231,233,415,760,448,339,379,344,529,690,220,292,306,334,322,323,547,220,277
"10",10,242,520,60,248,446,266,228,247,229,237,264,305,231,231,295,514,390,238,283,338,234,716,223,262,311,299,251,288,461,226,235
