"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,289,548,113,296,544,216,241,242,212,220,305,532,231,231,289,610,241,682,344,349,227,302,234,290,268,313,599,290,429,225,229
"2",2,563.5,624,188.5,310,421,309,273,204.5,236.5,308.5,412,440,225.5,233.5,350.5,718,511.5,703.5,441.5,353,260.5,814.5,238,289,501.5,396.5,627.5,429,592.5,219.5,302
"3",3,316,554,114,290,371,272,199,338,241,295,270,305,231,231,341,677,478,264,400,341,238,781,243,332,380,614,711,398,676,224,310
"4",4,296,555,117,286,369,433,214,283,244,295,268,319,231,229,296,675,463,237,369,346,258,796,260,308,351,351,615,310,564,223,230
"5",5,285,542,64,236,363,542.5,220,253,254,278,277,299.5,231,231,258,654,381,208,314,339,260.5,815.5,225,241,534,306,230,464,568,223,209
"6",6,501,610,178,335,552,2,241,283,188,236,318,506,230,232,359,633,399,685,409,367,207,713,247,340,376,347,642,335,453,214,224
"7",7,322,565,127,294,452,15,218,345,197,259,291,312,232,232,345,666,464,260,383,352,223,762,222,311,335,382,691,287,561,223,349
"8",8,295.5,549,77,264.5,483.5,429,222,230.5,206,254,217.5,289,230.5,234.5,311,710.5,309,482,304.5,343.5,390.5,374.5,221,253.5,264,301.5,510.5,300.5,400,222.5,256
"9",9,285.5,546,96,298.5,430.5,430.5,230.5,260.5,218,309.5,270,301.5,230.5,232.5,311,751,399,286,353,343.5,527,674,219.5,299.5,298,333,278.5,300.5,508.5,226.5,229
"10",10,258,529,63,244,447,241.5,226,254,228,234,256,302,231,231,295,527,405.5,235,287,337,231.5,714,223.5,260,338.5,305,239,288,450,227,234
"11",11,287.5,548.5,84.5,271,455,414,220.5,262.5,214.5,268,229,297,234,232.5,323.5,737,340,484.5,338.5,338,411.5,454.5,229.5,305,267,303.5,261,288,476.5,225.5,239
"12",12,282.5,549.5,87,271,488.5,10,232.5,269,201,281,252.5,296,233,228.5,360,751,419,291,335,336,489,385,236,316,313.5,315,268,295,452.5,218,249
"13",13,249,520.5,92.5,590.5,455,148.5,233,269.5,223.5,227,253.5,302.5,232,233,322.5,480,411,252,333,337,234,674,229.5,294.5,292,312.5,240,302.5,450,227,226.5
"14",14,280,546,95,253,516,0,587,310,201,241,462,301,230,231,309,698,414,672,350,342,227,299,233,267,287,391,229,292,449,224,323
"15",15,265,524.5,184.5,404,693.5,0,236.5,329.5,210,248,385.5,289.5,230.5,228,371,480.5,309.5,248,372.5,364,171,475.5,233.5,329.5,432,537.5,478.5,496.5,244,243,419.5
"16",16,292,549,83,274,523,37,236,255,218,218,269,291,232,231,315,522,373,283,314,341,223,295,224,281,285,318,262,285,415,227,251
"17",17,278,539,125,333,488,0,242,510,204,216,279,287,232,230,353,555,431,298,323,346,210,462,228,304,278,311,270,279,408,226,263
"18",18,251,545,91,260,522,0,226,285,234,392,281,302,230,224,387,704,414,234,355,337,250,572,261,263,271,307,234,259,397,222,262
"19",19,348.5,569,180,606,567.5,56,228,215,198,206,299,308,231,232,478.5,513,283,690,398,376,216,321,230,332,308,350,693,311,400,226,242.5
"20",20,286,549,107,266,514,0,545,366,196,243,323,327,230,232,332,692,487,678,355,345,238,313,222,292,378,340,593,286,429,223,284
"21",21,273,549,131,269,556,0,428,396,201,250,492,308,233,233,367,722,562,712,438,352,232,333,240,286,673,412,287,314,518,229,499
"22",22,247.5,532,134.5,395,624,0,267,281.5,202.5,220.5,464.5,299,234.5,232,339,605.5,448.5,325.5,427,349,212,369.5,228.5,339.5,469,417,431,340.5,428.5,227,318
"23",23,294,559.5,171,716.5,513,0,357.5,525,207.5,220,277.5,313,231,232,372,563,446,315.5,376,349,220,311.5,231.5,392,341,362.5,282.5,292.5,410,232,256.5
"24",24,291,545,69,247,444,0,230,269,242,539,301,294,231,232,294,708,416,252,301,333,231,248,222,290,265,644,294,519,571,229,254
"25",25,360,565,278,723,560,10,244,158,193,208,281,293,232,233,413,509,336,498,421,437,202,308,226,391,335,390,702,336,385,225,254
"26",26,304,555,116,263.5,577.5,0,509.5,310,179,207,329.5,306.5,231,232,345.5,628,474,614,349.5,354,213.5,307.5,224,311,276,372,795.5,352.5,400.5,227,278
"27",27,359.5,564,171,677,504.5,0,263.5,390,202,226,302,315,231.5,229,424,637,570,492,388.5,354,213,339,223.5,330.5,543.5,350,421,293.5,422,216,426.5
"28",28,281,539,167,799,506,0,256,264,211,221,282,298,230,231,343,550,423,292,361,368,221,295,225,366,317,344,279,336,419,229,247
"29",29,258,526,73,256,432,0,236.5,247.5,227.5,440.5,273,295,232,230,287,720,449,242.5,326.5,339.5,242,268,257,263,272.5,317.5,267.5,403,548.5,223.5,228
"30",30,279,539.5,71,255,486.5,126.5,238,248,218.5,501,274,187,230,232,307.5,714,376,236.5,321,338.5,222.5,280,515.5,285,264,304,258,330,419,225.5,230
"31",31,708,655,431,493,686,0,261,341,191,200,328,289,233,231,517,524,315,575,462,520,183,357,228,433,490,538,608,405,292,233,319
"32",32,301.5,553.5,108.5,263,565.5,0,421.5,116.5,180.5,212,331,307.5,230,231,380,634.5,483,630.5,356.5,336.5,187.5,316.5,221.5,325.5,283.5,389,827,434.5,398.5,224,297
"33",33,314,557.5,118.5,264.5,575,0,506.5,122,183,214,335.5,302.5,231,231,380.5,628,479.5,621,359,359.5,207.5,300,222,318.5,275.5,359,818.5,242.5,429,221,253
"34",34,299,555,144,284,588,0,544,251,184,200,315,308,232,232,431,565,479,413,364,352,209,296,225,344,289,399,782,324,400,227,269
"35",35,326.5,558.5,230.5,663.5,604,0,584,272,201,206,275,304,233,231.5,388.5,509,459.5,337,392,358,215.5,293,231,395,317.5,414,692.5,316.5,405.5,225.5,257.5
"36",36,256,530,83.5,273,446,0,222,243,204,446.5,282,313,231,231,324.5,738.5,459,255,345.5,338,327.5,291,232,293.5,280.5,362.5,750,382,507.5,224,235
"37",37,300,552,87,267.5,502,0,224.5,212.5,188.5,449,259,240,231,231.5,329,732,434,241.5,350.5,351,205,323.5,469,298,275.5,318.5,757,359.5,405,223.5,246
"38",38,435.5,595,401.5,512.5,761.5,0,267,292,179,273.5,547.5,229,231,235,485.5,605.5,494.5,323,513.5,429,179,550,311.5,399,546,630,574,581,188.5,252,508.5
"39",39,395.5,582,169,283.5,657,0,514,271,166.5,272,524.5,346,227,231.5,409.5,730.5,590.5,747.5,484,367.5,217.5,383,265,292,659.5,504,689,416,515.5,206,446.5
"40",40,293.5,554,106,270.5,485,0,249.5,418.5,192.5,218,301.5,310.5,230.5,232,375,602,514,333,325,335,208.5,353.5,211,298,278,348.5,680,295.5,399.5,230,387.5
