"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"1",1,272,540,115,290,547,156,240,242,209,222,308,526,231,231,293,608,243,690,342,351,224,308,233,285,261,308,594,283,419,225,230
"2",2,587,637.5,168.5,274.5,402,484.5,246.5,286.5,237.5,321,386,373.5,233,229.5,298,701.5,476,695.5,456,360.5,267.5,822.5,244.5,227.5,621,382.5,557.5,493.5,629.5,216.5,284
"3",3,315,561.5,115.5,279.5,393,130,195.5,326.5,225.5,294.5,265.5,295,232,231,341,666.5,480.5,250,392,341.5,235.5,770.5,262.5,328,376,602.5,713,358,675,220,324
"4",4,324,559,116,275,454,312,221,276,223,276,296,294,229,232,301,646,401,232,370,348,237,776,228,297,339,338,601,330,580,225,222
"5",5,285,540,64,240,392,504.5,221,250,241,278,276,305,231,231,271,642,369,214,311,339,250,811,215,243,533,305,230,454,538,221.5,204
"6",6,483.5,609.5,185,324.5,521,357.5,235.5,242,208.5,256,364,571.5,232,231,298,658.5,416.5,699.5,416.5,368,237,709,231,352,333.5,357,602,319,466.5,227,211
"7",7,334,562,121,286,473,0,223,331,194,252,262,301,231,230,361,651,472,269,368,351,222,743,226,298,326,392,690,304,521,224,353
"8",8,356,563,71,252,465.5,272.5,231.5,233.5,211,274,262.5,313.5,235,228.5,347,735.5,376.5,523,332.5,339.5,372,328,225.5,246.5,263,308.5,464,282.5,439.5,220.5,271
"9",9,303,550,97,306,438,540,212.5,277,196,356.5,244.5,302.5,229,232,334,757.5,387.5,306.5,352,337.5,476.5,690,213,310.5,285.5,331.5,256,304.5,495,218.5,220.5
"10",10,261,530,65.5,246,453,290.5,226,252,221,236,260,299,231,231,298,522,386.5,235,292,337,230,713,226,259.5,327,303,240,288,442,226,234.5
"11",11,285,541.5,84.5,281.5,477,409.5,224,251,212.5,273,251.5,297,230,231,272,727,297.5,418,328.5,339,400.5,429,222.5,287,267,299,258.5,275.5,442,218.5,225
"12",12,228,520,92,297,465,0,231,270,206,318,249,306,233,231,298,751,423,264,347,338,485,380,226,318,310,313,278,280,486,224,221
"13",13,253,530.5,95,609.5,468.5,151,232.5,250,212.5,227.5,267,303,231.5,231.5,320,475.5,394,265.5,324.5,340.5,226.5,656,229,281,296,312,236.5,298.5,428.5,224,232
"14",14,278.5,536.5,97,261,525,0,575,308.5,189.5,249.5,468,287,229,232,324,696,417.5,698,341,345,225,336,232,273.5,286,348,253,283,415.5,221,336.5
"15",15,275,524,191,390,704,0,232,315,207,244,384,261,233,231,366,459,286,244,348,365,174,444,239,308,386,519,441,464,262,242,400
"16",16,267,532,89.5,271,522.5,11.5,235,254.5,214,219,298,289,231,232,315.5,516.5,343.5,282.5,317,342,222,304,226,287,280.5,327,264.5,282,410.5,229,246
"17",17,271,540,138,342,505,0,239,484,204,213,269,304,230,233,355,578,428,300,361,343,215,527,220,353,289,337,293,278,390,229,279
"18",18,285,540,97,275,530,0,232,262,178,401,276,313,235,231,339,707,419,280,333,344,212,501,248,302,273,310,256,295,382,221,244
