NK11,CD3,CD45,Ly6G,CD11b,B220,CD8a,Ly6C,CD4
168.203,-52.0235,2322.05,496.688,7789.13,59.0561,-139.904,523.081,386.236
122.886,24.6456,4414.1,-729.099,10080.2,8.08869,70.7939,159.65,144.165
-34.0884,211.632,3059.23,-201.651,12305.9,26.8563,-20.9181,227.609,242.091
89.8345,65.9904,4502.94,-427.873,10621.3,546.881,-195.002,833.948,711.493
14.7324,168.486,4134.73,-314.678,12753.4,130.954,156.218,281.06,931.882
-12.8821,115.584,5690.51,-593.006,14888.9,253.626,469.202,403.257,862.283
-47.7553,128.518,9992.43,-262.24,5612.01,39.9398,-269.497,451.081,1170.88
24.4081,121.431,3816.4,-429.17,10731.4,-123.118,139.848,605.172,658.04
-26.5657,211.064,6098.49,-848.822,10427.6,148.138,155.368,56.5756,1235.78
22.5292,48.0805,2808.96,-266.079,12220.4,310.716,75.7153,310.253,610
14.6224,-9.20482,3964.45,-393.601,10433,73.0377,149.814,449.519,381.058
101.13,7.40654,4868.76,-183.24,14192.8,362.127,236.078,797.732,198.477
116.456,62.2977,4340.22,-269.678,11232.3,169.832,199.067,684.362,227.674
-341.357,3866.17,76492.1,-2850.15,603.585,-341.398,3086.44,528.107,-361.092
-86.5808,-39.757,3585.13,-641.879,11738.5,193.644,53.3657,208.628,312.983
387.57,211.861,1803.89,-458.165,2486.86,2071.11,511.025,1270.42,985.639
5.12789,84.6968,4165.98,-354.981,9674.03,131.278,-54.5879,277.794,164.24
8.77129,134.755,5914.52,-1284.02,13020,86.9327,394.49,825.574,893.053
78.6825,146.101,5306.23,-558.551,14960.3,345.269,108.847,134.862,650.372
61.0053,77.8951,4664.37,92.3455,10814,127.394,-206.492,-195.063,333.304
95.035,7.02308,4902.54,326.205,10948.5,6.72273,-12.8752,697.344,134.903
235.862,12.094,4247.48,-426.257,9180.57,221.88,102.428,1037.55,233.936
-11.1691,-54.7409,3453.72,366.549,12005.3,189.802,-112.986,-42.5733,275.264
92.1133,7.36805,4231.08,-1085.02,9711.69,284.211,557.379,-51.2076,1067.58
152.601,213.175,6201.13,-902.355,17317.5,566.035,59.7235,183.372,906.23
297.539,144.416,5515.67,-1769.23,11068.3,529.74,651.6,278.335,1322.82
95.722,71.4547,2449.93,-655.907,10638.7,64.6441,136.652,76.8966,503.191
51.4876,34.7296,5432.39,482.992,12761.4,-45.1774,-10.855,915.924,725.79
-21.8939,82.4495,5299.96,-807.785,13402.3,324.282,43.8409,728.811,427.325
46.5435,168.05,2878.35,-163.733,11605.7,18.2865,69.6018,432.733,786.075
181.227,14.5568,8271.91,-409.599,19940.6,233.659,53.8082,-98.0706,874.851
-4.60021,152.061,5051.48,-86.1999,9835.85,309.478,196.522,647.985,1097.47
39.1276,69.2264,3167.77,45.7404,6417.83,-45.274,-101.313,323.305,289.351
94.7069,-13.0133,2302.76,559.729,8465.88,58.6764,-26.3729,116.347,735.542
-4.12379,150.698,3619.83,-115.997,9547.73,-20.9052,17.723,341.587,160.25
7.13628,314.316,9766.09,-1314.85,9236.24,168.325,617.714,684.377,328.527
142.264,369.415,2130.42,-877.033,6555.68,721.3,471.341,1889.78,1684.43
-67.1148,47.267,44431.2,11576.5,38553.8,745.708,-430.811,18305.2,41.8705
-31.731,120.989,4759.39,-364.144,14496.4,239.074,48.3583,-181.688,511.981
-51.0878,213.261,4081.5,325.031,12190.3,272.234,35.8237,161.7,210.553
19.0809,43.8667,3895.33,-74.9921,13146.9,181.744,171.361,613.205,758.346
109.096,110.139,2509.51,183.145,9217.89,163.93,-183.314,420.067,-137.655
35.5704,80.1598,1781.02,-525.448,2634.22,81.6244,89.3047,660.807,669.966
-430.66,1736.34,2169.53,1654.01,1916.14,373.547,288.092,1058.85,1588.75
9.76409,-38.3225,3514.45,-241.004,9126.71,167.799,245.959,157.561,463.605
-24.091,-111.864,3084.51,12.0635,12001.5,272.914,16.9998,230.468,324.485
-23.3948,133.016,2800.78,70.2429,7117.76,61.3888,22.0188,572.493,144.565
10.7131,207.214,2831.04,-929.577,5459.04,96.2581,523.357,462.465,473.309
-30.484,185.559,20691.2,2345.28,20513.8,109.789,298.87,17340.3,236.793
407.539,37.452,9319.14,-501.83,16083.1,236.648,343.563,585.469,682.837
163.838,11.0481,3910.54,-366.032,11822.7,238.025,114.101,-298.522,832.595
94.0798,0.13502,9178.88,230.948,19421.5,451.869,-280.019,486.426,393.346
-93.7782,729.504,1930.24,-83.546,6916.77,-62.515,-21.3532,9558.08,1079.07
-45.5005,21.0302,3230.06,478.466,9917.89,88.5237,-270.751,739.806,194.618
68.1619,133.569,1997.06,99.7407,6505.43,-93.6533,-115.556,-214.205,261.087
70.743,135.519,6449.08,-257.631,20293.5,421.106,30.4896,445.017,1181.12
288.048,-59.7988,3860.15,-112.286,9580.09,109.203,64.4458,690.104,937.066
-89.5604,134.92,2651.76,-483.636,7965.33,149.405,189.68,195.321,807.405
261.509,171.728,3856.63,-729.379,11893.3,-138.831,520.625,1505.02,2082.22
124.346,17.6034,3069.03,-477.812,8721.69,-66.7396,234.804,176.386,612.939
36.3433,115.29,3845.84,82.2664,9628.54,364.758,-155.223,461.503,705.57
43.2417,136.856,3936.92,607.974,10409.1,388.516,-379.615,557.416,443.512
5.73669,103.737,3861.76,-598.675,9845.14,211.467,257.986,238.596,1440.18
138.803,-153.014,37997.3,-2610.03,-287.801,11120,399.586,423.145,-161.7
-88.1075,263.371,4501.6,-1151.46,7345.27,513.17,352.56,1315.21,1125.35
11.7124,32.4013,3412.52,-940.624,9400.89,73.2726,418.337,485.405,221.234
273.769,28.0131,11768.2,-618.653,25985.7,130.928,351.587,1359.88,1198.57
96.5857,144.287,4713.36,-632.523,14544.1,112.48,140.755,369.263,830.676
-50.1726,303.784,6510.22,-795.018,15655.6,179.634,44.798,1019.69,904.561
117.489,104.917,3998.27,-187.149,10125.5,108.624,64.7232,628.682,480.461
76.9107,136.072,4929.01,-625.82,14353.2,137.281,58.8423,1132.48,230.562
-6.74886,171.822,11772.1,-1437.93,20374.6,519.285,261.316,1238.22,2715.82
109.435,65.7712,3907.34,-303.26,9395.51,378.096,-219.237,186.806,814.264
346.341,435.693,17667.1,-2093.96,45984.9,974.135,185.836,2852.39,3661.67
350.303,-53.9998,6185.86,125.266,17072.3,247.63,227.272,590.332,623.968
158.088,85.9069,14523.2,-1117.62,35801.6,87.1126,434.64,772.476,1469.17
-48.2281,30.4547,2634.9,-478.169,8650.41,282.37,88.042,91.3947,682.099
57.6688,175.725,4333.84,-756.513,9854.19,230.071,246.362,749.775,884.538
199.735,228.665,6300.39,-1525.98,10498.3,940.451,514.084,1135.37,2626.1
156.583,-83.6575,7943.85,-115.218,5200.1,260.336,-158.524,1574.46,480.821
102.312,53.0551,2932.56,-884.488,7465.45,230.473,393.327,1098.27,916.132
-75.7996,93.5602,5230.19,402.879,11037.1,53.0576,-140.629,751.471,988.612
162.212,22.5617,2041.51,68.4427,6343.6,154.474,184.924,118.04,266.593
36.9938,50.1616,5192.09,199.224,12923.5,96.7095,95.9036,379.655,708.19
191.006,273.423,4483.17,-703.204,8270.56,328.045,344.346,427.838,1317.13
126.745,-42.397,40714.1,-1159.62,656.266,3975.21,-101.566,56.9475,151.332
57.1999,35.8277,5229.85,-1746.98,9961.12,218.572,669.752,830.849,611.346
8.32804,26.7255,6527.05,-471.208,15056.2,647.625,28.5616,929.57,375.129
-115.731,61.8691,34247.7,-2132.69,-286.363,7154.87,1040.92,-25.3969,251.98
19.9917,119.679,3508.71,-868.883,11165.4,225.47,313.165,287.839,998.194
136.363,2.45879,7326.99,-278.94,20935.7,198.83,-94.6182,285.634,806.411
-89.0799,-4.43834,1925.17,-322.017,8222.1,-121.045,103.583,32.9914,206.417
81.4798,719.449,5785.33,-2014.18,17499.5,928.632,980.265,4758.94,3451.26
97.0439,-201.861,51474.8,-3068.81,240.393,12200.6,117.3,-692.78,444.166
70.1558,36.6491,6051.76,-418.652,18199.5,357.223,34.9956,230.236,375.396
82.4923,36.0384,1549.3,-56.7675,7775.46,-127.806,90.1004,421.721,-19.8479
-44.9097,7.3332,3675.9,-1157.28,8219.56,169.606,384.077,170.959,794.569
80.9921,10.0005,2774.86,-464.007,8728.45,394.653,10.2531,25.4358,915.554
-78.6604,9.64049,1658.48,-380.041,7236.14,235.374,26.5594,383.242,-228.152
75.1462,-12.7752,7820.58,-432.319,11976.5,219.347,-130.143,613.942,616.285
90.5802,322.266,5387.79,-539.449,17216.8,449.853,164.421,889.745,1481.92
-3.07338,216.529,14228.3,-435.076,732.976,172.199,-80.8382,520.39,148.141
64.9218,14.2694,7904.06,125.703,11692,290.821,-225.907,16487.7,109.042
42.6312,-68.6345,2573.03,-358.925,10962,-84.5771,115.547,292.864,179.263
-36.9184,-20.5366,2428.4,-422.396,10992.4,161.488,-14.8728,336.118,204.395
45.1794,-0.949584,2732.95,-127.806,9833.17,5.79009,8.64043,-27.738,1019.25
157.838,243.913,21349.4,-851.277,33685.8,481.022,289.793,936.625,1283.76
98.3396,-35.2229,6864.26,-149.956,9258.27,-1.3036,78.3939,728.708,496.604
64.0124,236.808,5051.5,40.1071,11076.2,259.569,-120.549,793.1,524.002
613.344,960.222,14145.8,-3922.73,30134.5,1746.32,1890.5,25407.3,18150.7
53.6107,226.95,3748.14,-831.022,10283,450.802,130.467,1057.86,847.697
58.6838,134.772,3018.55,-135.446,7942.35,-221.725,166.381,45.3021,1167.44
96.9464,37.379,3982.06,-1000.84,11122.4,-136.089,501.36,485.802,429.753
121.175,-34.1244,7801.74,-713.164,19768,314.293,217.939,993.678,762.863
-42.6906,1536.92,9490.65,174333,-14012,6688.64,32640.3,-389.017,952.425
-70.9435,248.22,10110.4,-145.248,19997.3,324.351,222.398,321.572,776.2
63.9424,-39.13,5887.15,-319.645,13028.6,-240.437,203.077,1097.89,557.594
610.794,175.853,57670.8,-1326.4,3109.23,190.82,-225.792,3913.39,945.041
166.562,80.3891,7199.33,-502.8,19413.6,263.856,58.5983,312.758,710.683
121.155,159.06,7896.81,-1199.23,17671.3,233.677,211.089,1259.67,826.058
65.6198,52.5896,2972.5,-192.834,6958.59,39.7939,78.1322,265.212,111.859
-36.0632,248.998,2839.72,-181.929,9655.7,389.444,215.582,831.794,432.91
13.6339,43.8168,5325.65,-205.849,14528.8,196.624,254.886,916.098,604.997
187.955,249.497,3765.4,-463.035,8607.51,697.416,276.035,1697.24,991.64
98.6857,150.93,12312.7,-379.439,35467.5,679.54,-214.232,625.229,788.364
76.2938,66.1699,7547.39,-847.846,16527.4,268.4,218.613,622.054,68.2315
186.464,-6.40925,6879.16,-1249.51,20750.2,-15.0665,586.124,510.375,267.018
23.5653,165.79,4569.45,-567.539,11432.9,-210.403,242.088,111.045,939.686
20.6647,215.379,3516.39,-472.501,10116.3,230.011,341.798,551.254,841.177
70.4945,101.432,3816.54,-415.592,8201.58,228.636,188.412,477.071,530.812
-88.1825,22.6384,3575.29,-874.466,9127.58,147.313,194.613,129.142,147.321
33.0075,101.906,4584.67,19.5207,17143.6,506.54,26.8916,-181.499,1036.35
178.433,70.6551,4092.75,505.055,8539.88,191.606,-26.7145,942.179,830.955
-18.55,23.6302,4478.65,-598.107,12040.8,145.027,188.146,464.655,342.553
13.7313,-52.5006,18382.9,-1130.03,11592.8,481.668,-98.3801,-102.178,1906.72
95.9676,140.854,2606.06,-566.953,7149.69,496.734,145.361,564.162,409.368
108.094,177.203,3807.24,92.592,7896.47,346.002,-115.164,268.836,497.622
5.77304,67.4606,2174.81,-13.3073,7224.5,88.0838,-148.702,-150.068,409.092
0.524803,-9.07926,4298.92,-340.721,9383.41,248.61,-129.478,-115.058,265.777
47.6683,-42.5499,4288.05,-430.833,9748.43,84.7083,130.87,214.452,238.538
11.4751,123.26,53991.4,10727.3,30735.9,475.566,-512.878,7627.72,641.785
-41.053,160.207,2496.17,-369.007,9593.69,525.123,-16.7478,436.6,255.664
176.637,104.599,5151.2,-786.29,10978,388.8,286.15,859.562,828.621
135.658,39.0617,3958.13,-79.1621,10041.2,-226.928,-213.784,497.758,188.312
66.4971,137.825,3927.65,-96.127,13380.7,214.358,-78.8745,831.728,917.058
-52.6357,122.336,3130.3,-989.403,7184.96,131.511,258.439,-80.0405,274.73
29.4781,107.568,2944.48,-302.345,4770.7,67.9423,283.188,671.977,409.855
115.973,114.431,5286.51,-462.329,10923.1,187.553,472.114,915.545,1306.5
98.4916,35.8515,4703.12,223.399,13304,257.905,-83.5239,175.309,983.383
6.43332,80.7921,3645.87,-1177.27,11693.6,212.026,355.622,460.646,500.508
26.0154,41.0521,2476.63,-557.752,7273.44,-48.972,147.455,337.901,-208.104
218.257,187.031,10654.9,-753.384,23101.9,414.965,-226.291,606.127,710.345
53.7974,120.682,4346.96,469.738,11676.8,313.002,-47.4905,260.39,739.876
-122.93,230.255,3771.03,-492.641,6457.43,149.829,78.214,4.06295,742.274
92.5921,60.5112,2635.72,-578.734,9357.87,15.6709,158.839,621.729,-43.2459
160.345,39.6634,6185.5,76.9776,16457.6,523.099,-148.282,136.216,1068.84
5.27965,176.905,4846.9,-299.101,19273.4,302.366,87.1475,493.406,987.969
259.755,164.382,23653.7,-1133.63,5472.41,492.491,-251.124,121132,3666.54
156.328,-52.2629,16794.4,1074.1,12360.9,16.9961,-133.513,16528.4,97.8614
187.657,237.522,5319.39,-659.81,14151.1,402.307,151.563,922.243,2084.9
-66.4912,291.102,3731.33,46.9852,12393.4,323.302,-207.266,450.323,846.828
-104.326,-127.16,3252.83,-246.783,10169.1,123.143,132.63,402.364,145.889
112.278,114.016,6668.99,-403.812,10347.6,91.2946,129.196,322.444,737.188
-18.1413,51.022,2536.33,-194.718,10640.7,67.5883,433.639,374.772,11.0864
66.7868,-141.154,9530.56,-260.117,23766.7,65.0485,109.469,275.718,680.159
106.56,240.871,10081.7,-514.173,17994.2,631.921,115.133,611.116,994.264
162.127,213.488,2372.39,119.338,7615.21,-56.4474,-52.2801,477.949,922.944
57.8294,123.21,4224.77,-769.183,13541.2,-79.4605,479.133,542.445,899.262
-39.617,24.648,9715.79,-1610.55,24748,148.238,458.022,403.42,774.195
17.2095,121.902,3383.87,-122.59,10083.9,42.1244,206.158,420.298,773.837
332.472,-125.228,22338.2,-143.807,28645.6,539.858,-400.321,1219.65,1053.34
125.263,-46.333,3326.53,117.688,11782,55.2693,93.6035,563.044,716.341
138.613,3.04933,3113.36,-229.991,10114,-346.791,251.305,322.725,622.275
57.1291,102.13,3684.06,-219.447,9503.53,-20.6675,328.194,1060.39,539.281
-60.0612,135.451,4929.9,-1001.42,15163.3,624.499,331.2,125.592,1059.87
180.783,-34.7873,2231.85,-24.8928,8342.87,286.791,36.5565,433.069,74.9599
197.172,-59.3095,5391.62,406.03,11998,218.96,-256.333,809.528,182.734
170.362,30.646,3143.24,-69.4184,8572.09,-36.3824,49.1981,644.043,710.755
210.943,81.7541,3765.78,-1034.01,11099.3,197.157,475.397,1255.29,148.639
64.2264,107.258,5581.55,-427.834,16235,172.239,175.996,1048.33,681.538
32.2919,156.273,5290.02,-542.74,2731.42,-3.60556,237.278,605.946,493.455
58.9422,131.897,4960.59,-929.064,10719.2,308.816,338.112,783.994,724.831
21.6063,89.029,9659.58,-100.189,22081.7,217.975,-138.421,1026.12,371.877
262.024,67.4866,2933.77,-132.13,8513.03,211.912,43.0958,332.619,881.645
48.1016,65.8337,4754.8,183.247,14202.3,272.864,-114.042,226.397,273.549
48.5394,116.843,3761.39,-1378.89,10715.4,142.606,415.353,823.01,701.372
-32.048,142.853,2783.86,-324.507,8098.82,-33.9492,164.126,-57.1763,624.947
143.725,-73.047,5646.22,-82.5185,14503,54.793,342.755,428.126,599.541
66.826,226.959,6493.39,-1526.03,15173.1,279.104,348.395,858.577,902.484
64.1817,43.9172,2205.06,134.542,5162.15,-82.7523,-32.0385,243.556,229.294
140.758,-123.016,3481.81,-370.494,10489.7,-111.483,82.008,255.007,33.5816
-41.8091,242.853,5619.21,493.888,13174.2,167.872,-180.929,255.288,1194.68
93.9405,77.3693,8778.8,-1008.49,15951.9,246.937,-5.88855,967.498,622.188
-18.6373,53.8953,1944.89,264.903,6921.99,272.402,70.6967,93.7499,-47.0399
68.3199,149.215,18893.2,-682.771,35622.7,308.186,193.483,715.856,1103.17
73.2709,214.211,3446.86,46.8436,8562.71,157.285,-111.646,745.135,543.896
88.2857,75.6835,4770.07,-886.706,11662.7,-179.996,407.51,1311.23,946.458
142.498,96.042,6240.36,-856.824,15073.3,167.208,261.36,1014.4,1082.7
-94.0329,164.863,4156.93,555.496,9595.39,55.2254,-133.062,-141.416,584.418
181.459,25.6773,3517.11,-328.865,10614.8,375.045,193.808,266.185,957.47
-18.8579,11.078,3456.48,54.1436,11742.6,30.1064,35.3458,270.984,193.002
79.2425,-177.42,4481.69,-747.516,9091.94,168.686,44.2415,254.944,384.795
54.5438,121.358,5140.28,-137.614,9730.81,211.226,121.241,577.868,848.245
103.084,-88.1232,4401.23,-614.144,9047.73,167.519,33.2293,186.124,264.776
-106.017,143.933,21687,1265.83,19520,-34.9016,26.0294,14104.3,1440.68
194.368,105.9,7534.21,-289.334,20316.1,719.762,101.097,582.536,961.127
83.8599,46.0809,10254.4,-1439.19,21979.6,268.655,634.241,-89.8144,337.942
-144.444,3584.13,7344.73,2017.16,2729.51,-729.075,367.458,1977.61,940.075
232.746,74.1319,3310.29,204.389,9612.57,202.774,-1.62816,301.722,634.775
153.315,149.056,4066.97,-110.426,12284.2,88.5076,271.073,975.854,648.023
262.881,62.5524,2579.47,1383.47,5031.62,635.247,-130.331,214.821,593.693
65.7486,238.684,3295.34,-273.321,8506.8,296.985,22.4013,167.449,317.228
-4.98121,100.94,3493.62,-824.715,12628.2,209.195,310.971,248.171,578.447
126.602,-10.1862,3209.79,-458.358,8053.61,140.126,235.499,347.09,556.174
154.466,-96.6839,2232.73,589.034,6598.04,-168.069,-130.752,-263.807,128.017
73.1578,97.1051,4154.84,-353.005,10804.3,-118.227,203.053,549.962,-48.363
235.326,58.4049,4998.61,-331.931,10906.4,359.166,-107.865,653.27,472.753
183.795,94.1282,5580.17,-379.619,13862.5,247.666,347.616,369.422,355.97
52.6393,18.5698,5794.6,-163.66,16268.2,173.713,37.8099,281.688,606.493
191.599,141.638,8662.01,666.84,20444.4,67.2372,-104.552,265.683,881.901
-36.5294,-27.998,3442.44,-554.46,9775.68,25.8946,17.7859,-6.8407,339.663
105.447,235.57,2586.34,-1178.3,9773.95,431.74,387.899,537.658,510.158
206.037,159.187,3520.84,63.2662,8012.75,382.438,-66.7171,603.755,348.198
237.709,161.358,17292.9,-759.473,38565.4,120.861,250.978,670.394,1426.66
33.428,31.2878,5091.24,-1382.42,10142.5,163.28,780.51,1483.93,1213.47
72.0746,138.73,3734.96,203.805,9635.16,360.606,-62.3888,892.751,914.881
75.7747,40.5113,3977.25,-350.164,8164.27,244.679,84.5701,898.39,351.21
-102.216,-102.136,9125.26,-886.449,148.799,1699.28,33.8005,-127.627,1066.68
-18.5121,60.5326,6767.17,-40.9129,14833.6,45.9428,-145.406,285.166,276.11
104.173,84.8188,4131,-1008.12,12125.3,-146.147,325.324,993,673.982
27.1786,68.0637,5455.52,-668.88,12432.8,190.076,266.944,955.725,937.228
29.8906,92.95,58681.6,10968.9,43915.2,404.503,-719.097,9266.93,419.442
