PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
-82.3413,761.838,-387.891,4830.09,3544.33,-150.434,22839,-109.121
84.0216,-478.348,-151.706,4596.71,2313.99,-212.099,28177.4,250.59
22.0801,6155.13,16495.2,2761.14,1498.96,25953.5,235.493,7009.28
14.1073,2682.9,-170.972,756.832,2575.61,2261.67,-34.8471,5217.11
-56.699,5292.97,4431.11,1970.27,584.966,11082.4,205.738,1131.75
-187.077,1761.92,-202.249,1388.94,2226.93,28.542,7207.61,-96.3388
-64.3879,6251.72,4010.15,1798.26,750.651,10008.2,295.565,2343.31
51.8305,358.938,-234.691,4952.47,2736.48,-362.623,22561.3,-493.494
105.639,9401.66,-198.32,978.813,3256.07,380.207,117.665,400.135
-0.380263,1356.86,-161.852,2855.74,1543.41,-160.126,13090.3,4509.99
-85.4201,718.514,-424.922,4036.67,4387.84,-180.467,18298.1,-46.7096
84.1775,6936.78,-824.385,4572.81,11905.3,5554.19,585.393,7198.97
-223.917,6357.65,12007.7,2746.43,1865,7497.81,260.195,3326.73
125.398,6462.29,1972.26,2636.3,2274.67,16172.5,261.017,2727.16
-90.8965,644.876,-290.85,2827.38,2423.09,-96.7174,167.281,346.245
-82.926,201.17,-217.529,162.137,39.6658,888.12,151.886,582
687.063,1871.03,-2205.65,8518.86,10952.6,29903.1,1255.57,16450.4
-41.7023,470.401,384.849,6093.88,1505,-1000.86,33314.4,366.076
-52.8676,3820.96,914.593,3191.6,17107.6,1331.22,-79.0182,1493.64
-23.488,2635.26,5227.35,1510.68,310.021,20498.7,195.933,1163.15
0.42888,3972.29,-532.885,5120.9,6586.71,12418.1,167.495,13838.1
10.6453,559.652,-618.961,741.082,2375.39,437.999,4881.66,101.308
239.1,2737.65,-327.224,12078.1,7431.03,1512.3,3382.64,654.114
38.7055,4245.21,383.896,1110.72,1.29348,14163.5,-303.197,1557.63
