"",Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Dim.6,Dim.7,Dim.8,Dim.9
NK11_asinh,0.335704700754125,-0.632371876076738,-0.458720684099358,-0.0267607520076764,-0.00706458047160062,0.196618066315909,0.47640799457692,-0.00429272646864852,-0.102838627342979
CD3_asinh,0.220268179456333,0.778160869021366,-0.34280862162978,-0.178561106340592,-0.0435029521382152,-0.281569666476226,0.131977946784434,-0.273671293410923,-0.151847397352425
CD45_asinh,0.885741434877521,-0.0605057088746787,-0.171524535415073,0.0423497175689897,-0.00876632994983478,-0.274358336259679,0.0493551608436838,-0.0361805859855071,0.318579178520857
Ly6G_asinh,-0.402700591211285,-0.155162468371408,0.544788237358409,-0.478692798806982,0.195401952330647,-0.395856842490685,0.295104770917331,0.0703308394055703,0.0299667739712676
CD11b_asinh,0.518785325955742,-0.190777050581095,0.618575048205269,0.125740765232883,0.412577957223355,0.188351306210115,-0.0283626042984392,-0.294634007295781,-0.0520543113071403
B220_asinh,-0.0619869587124042,-0.466837790233237,-0.58391999568187,-0.32496665743238,0.440912626042128,-0.174245115140088,-0.322508971912236,-0.0203787979600391,-0.0496141959132209
CD8a_asinh,-0.398838031994946,0.380701000647961,-0.230915597777578,0.562233319999316,0.524368573921523,-0.0629629769720235,0.18883402699852,0.0967069497395748,0.0512775902274044
Ly6C_asinh,0.858483572034579,0.0918249926453143,0.197129882752801,0.133369994761228,0.0568091391525237,-0.222761623765408,-0.0665407280959223,0.310582626443283,-0.210207339162788
CD4_asinh,0.301385027160895,0.580774700421499,-0.0584512009695848,-0.522911875907385,0.239119285723156,0.455312389069784,0.0440668063989115,0.151367796755592,0.0753189360502986
