V1,FSC.A,FSC.PMT.A,SSC.A,BB515.CD117,PerCPCy5.5.CD16.32,Comp.FSC.PMT.A,PE.CD115,PECF594.CD135,Comp.GYG.670.A,PECy5.5.CD3e,PECy7.CD80,DL800.SA.Bio.Ly6G,Comp.LG.562.A,Comp.O.610.A,APC.BrdU,AF700.CD45,APCCy7.CD48,BUV395.CD11b,LiveDead.Blue,BUV615.Siglec.F,BUV661.NK1.1,BUV737.B220,BUV805.CD8a,BV421.CD34,V500.MHCII,BV570.CD4,BV605.Ly6C,BV650.CD150,BV711.SCA.1,Comp.V.750.A,BV785.CD11c,FileName,FileNo,Sample,Group,Batch,FlowSOM_cluster,FlowSOM_metacluster,UMAP_42_X,UMAP_42_Y
535074,323,566,59,196,215,688,215,299,375,300,180,195,229,233,192,714,449,217,261,334,326,915,398,194,513,325,168,525,724,161,180,Bone marrow_WNV D7 PBS 2_044_CD45+n=1e4,8,08_WNV_02,WNV,2,10,5,-2.90111394960951,7.34409440084516
396645,236,538,92,267,505,0,215,150,223,427,270,379,222,234,395,772,514,273,323,327,290,342,375,344,287,393,762,409,329,266,404,Bone marrow_WNV D7 PBS 2_044_CD45+n=1e4,8,08_WNV_02,WNV,2,89,36,6.09278054736995,4.56436372858659
70969,150,449,107,254,496,128,239,198,206,282,194,566,229,223,300,653,266,738,310,345,233,337,214,369,297,235,643,309,509,224,206,Bone marrow_WNV D7 PBS 2_044_CD45+n=1e4,8,08_WNV_02,WNV,2,1,1,-5.03041281302366,-4.71018031648894
355392,607,631,125,357,538,470,239,234,184,234,387,406,210,228,309,592,337,721,435,380,223,322,271,214,267,338,507,278,426,228,206,Bone marrow_WNV D7 PBS 2_044_CD45+n=1e4,8,08_WNV_02,WNV,2,55,1,-2.19707660962782,-3.06951824427605
317998,306,553,209,565,579,0,221,223,157,196,339,298,230,230,547,433,286,673,377,441,206,387,222,366,241,349,668,318,334,218,214,Bone marrow_WNV D7 PBS 2_044_CD45+n=1e4,8,08_WNV_02,WNV,2,62,19,0.406402400223322,-3.92576965069101
441890,226,520,75,587,477,195,222,306,251,196,281,301,230,231,256,468,350,299,263,326,246,614,199,257,258,317,280,303,521,229,195,Bone marrow_WNV D7 PBS 2_044_CD45+n=1e4,8,08_WNV_02,WNV,2,48,13,-0.21491499434809,8.98325901819576
388855,275,545,66,258,465,0,216,248,261,338,260,300,229,251,311,710,530,266,301,348,206,232,206,254,234,539,231,350,751,234,370,Bone marrow_WNV D7 PBS 2_044_CD45+n=1e4,8,08_WNV_02,WNV,2,79,29,5.21777116226601,2.9281429841632
69833,196,509,107,291,511,294,243,289,217,230,319,480,223,246,259,616,234,672,219,336,243,288,199,268,232,399,630,269,430,206,245,Bone marrow_WNV D7 PBS 2_044_CD45+n=1e4,8,08_WNV_02,WNV,2,15,1,-3.95579033384609,-4.36986487059205
449274,240,532,109,375,517,274,281,231,218,255,483,517,243,223,261,576,257,711,376,372,262,403,208,272,282,247,577,271,485,232,258,Bone marrow_WNV D7 PBS 2_044_CD45+n=1e4,8,08_WNV_02,WNV,2,42,1,-2.79452005579538,-4.15823324223936
140279,472,602,160,298,601,0,528,170,209,145,386,311,221,214,497,640,496,587,308,296,180,175,326,331,347,469,857,494,559,211,102,Bone marrow_WNV D7 PBS 2_044_CD45+n=1e4,8,08_WNV_02,WNV,2,86,34,6.90243223439601,-1.66695581149441
